"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","10µF","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm","~","1","","",""
"D1","LED","LED_THT:LED_D3.0mm","~","1","","",""
"J1","AudioJack3","Connector_Audio:Jack_3.5mm_CUI_SJ1-3515N_Horizontal","~","1","","",""
"J2","SSD1306_I2C","Display:Adafruit_SSD1306","~","1","","",""
"J4","SN_AUDIO_DEBUG","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","~","1","","",""
"R1","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1","","",""
"R2","10","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1","","",""
"R3,R4,R5","R1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","3","","",""
"R6","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1","","",""
"RV1","R_10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1","","",""
"SW0,9,SW0,10","SW_SPST","Button_Switch_THT:KSA_Tactile_SPST","~","2","","",""
"U2","PCF8574AP-I2C","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf","1","","",""
"U3","LM386","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm386.pdf","1","","",""
"U4","SN76489","w_pth_circuits:dil_16-300_socket","https://map.grauw.nl/resources/sound/texas_instruments_sn76489an.pdf","1","","",""
"U5","WEMOS_S2_mini","RF_Module:WEMOS_C3_mini","https://www.wemos.cc/en/latest/c3/c3_mini.html","1","","",""
